AD	A489	06.08.2008	Yes	02.02.2010	AD	TOL-1111-F-EGFP			
AD	A490	06.08.2008	yes	01.04.2011	AD	TOL-1111-F-EGFP			
MR	A491	11.08.2008	YES	22.08.2008	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A492	11.08.2008	YES	22.08.2008	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A493	11.08.2008	YES	22.08.2008	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A494	11.08.2008	YES	22.08.2008	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A495	11.08.2008	YES	22.08.2008	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A496	11.08.2008	YES	22.08.2008	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A497	11.08.2008	YES	22.08.2008	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A498	15.08.2008	yes	21.12.2009	MR	TOL-1111-EGFPactin.nos3’UTR			
MR	A499	15.08.2008	yes	21.12.2009	MR	TOL-1111-EGFP-actin.nos3’UTR			
KW	A500	19.08.2008	YES	01.04.2011	AD/TB	TOL-1111-F-EGFP-nos3’UTR		24	
KW	A501	19.08.2008	YES	01.04.2011	AD/TB	TOL-1111-F-EGFP-nos3’UTR		24	
KW	A502	19.08.2008	YES	01.04.2011	AD/TB	TOL-1111-F-EGFP-nos3’UTR		24	
KW	A503	19.08.2008	YES	01.04.2011	AD/TB	TOL-1111-F-EGFP-nos3’UTR		24	
KW	A504	19.08.2008	YES	09.07.2009	AD/TB	TOL-1111-F-EGFP-nos3’UTR		24	
KW	A505	19.08.2008	YES	01.07.2009	AD/TB	TOL-1111-F-EGFP-nos3’UTR		24	
KW	A506	19.08.2008	YES	01.07.2009	AD/TB	TOL-1111-F-EGFP-nos3’UTR		24	
MR	A507	28.08.2008	YES	01.04.2011	MR	TOL-1111-EGFPactin.nos3’UTR			
MR	A508	03.09.2008	YES	25.01.2010	MR	TL DrMS			
MR	A509	03.09.2008	Yes	15.07.2010	MR	AB DrMS			
MR	A510	03.09.2008	yes	01.04.2011	MR	AB DrMS			
MR	A511	03.09.2008	yes	01.04.2011	MR	AB DrMS			
MR	A512	03.09.2008	Yes	15.07.2010	MR	AB DrMS			
MR	A513	03.09.2008	yes	01.04.2011	MR	AB DrMS			
MR	A514	02.09.2008	yes	01.04.2011	MR	AB DrMS			
MR	A515	02.09.2008	yes	01.04.2011	MR	AB DrMS			
MR	A516	03.09.2008	Yes	15.07.2010	MR	AB DrMS			
MR	A517	03.09.2008	yes	01.04.2011	MR	TL DrMS			
	A518	9.9.2008	Yes	02.02.2010		TOL-1111-EGFPactin.nos3’UTR			
MR	A519	09.09.2008	yes	26.01.2010	MR	TL DrMS			
MR	A520	09.09.2008	yes	26.01.2010	MR	TL DrMS			
MR	A521	09.09.2008	yes	26.01.2010	MR	TL DrMS			
MR	A522	09.09.2008	yes	17.05.2010	MR	TL DrMS			
MR	A523	09.09.2008	yes	17.05.2010	MR	TL DrMS			
KE	A524	09.09.2008	yes	21.12.2010	KE	gata1:dsRed/+			
KE	A525	09.09.2008	yes	01.04.2011	KE	gata1:dsRed/+ or hommoz			
KE	A526	09.09.2008	YES	06.10.2008	KE	flk1:EGFP/+			
KE	A527	09.09.2008	Yes	21.12.2010	KE	flk1:EGFP/+ or homoz.			
KE	A528	09.09.2008	Yes	21.12.2010	KE	flk1:EGFP/+ :gata1:dsRed/+			
KE	A529	09.09.2008	yes	21.12.2010	KE	flk1:EGFP/+ :gata1:dsRed/+  ; or homoz			
UJ	A530	16.09.2008	YES	02.10.2008	UJ	AB (Dr)			
UJ	A531	17.09.2008	YES	02.10.2008	UJ	AB (Dr)			
MR	A532	23.09.2008	YES	05.05.2009	MR	TOL-1111-EGFP-myo-nos3’UTR			
MR	A533	23.09.2008	Yes	22.09.2010	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A534	22.09.2008	yes	01.04.2011	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A535	23.09.2008	yes	01.04.2011	MR	TOL-1111-EGFP-actin-nos3’UTR			
MR	A536	23.09.2008	Yes	22.09.2010	MR	TOL-1111-EGFP-actin-nos3’UTR			
MG	A537	29.09.2008	YES	10.12.2008	MG	clo m37* clo m37			
MG	A538	09.10.2008	YES	10.12.2008	MG	clo m37 * Clo m37			
MG	A539	30.10.2008	yes	01.04.2011	MG	clo m37 * AB			
UJ	A540	26.09.2008	YES	16.10.2008	UJ	AB (Dr)			
UJ	A541	26.09.2008	YES	16.10.2008	UJ	AB (Dr)			
UJ	A542	26.09.2008	YES	16.10.2008	UJ	AB (Dr)			
MK	A543	01.10.2008	YES	16.10.2008	MK	AB(Dr)			
UJ	A544	01.10.2008	YES	16.10.2008	UJ	AB (Dr)x AB(NY)			
KW	A545	03.10.2008	YES	01.04.2011	TB	TOL-1111-F-EGFP		24	
KW	A546	03.10.2008	YES	21.04.2010	TB	TOL-1111-F-EGFP		24	
KW	A547	04.10.2008	yes	01.04.2011	TB	TOL-1111-F-EGFP-nos3’UTR		24	
KW	A548	04.10.2008	YES	01.04.2011	TB	TOL-1111-F-EGFP-nos3’UTR		24	
MK	A549	17.10.2008	YES	01.04.2011	MK	AB(Dr)			
EM	A550	21.10.2008	yes	12.04.2010	EM	TOL-1111-DsRedEx-nos			
EM	A551	21.10.2008	yes	12.04.2010	EM	TOL-1111-DsRedEx-nos			
EM	A552	21.10.2008	YES	11.11.2008	EM	TOL-1111-DsRedEx-nos			
MR	A553	12.11.2008	yes	01.04.2011	MR	AB			
MR	A554	12.11.2008	yes	01.04.2011	MR	AB			
AA	A555	26.11.2008	yes	03.08.2010	AA	AB new			
AA	A556	26.11.2008	yes	26.01.2010	AA	AB new			
AA	A557	26.11.2008	yes	26.01.2010	AA	AB new			
AA	A558	26.11.2008	yes	26.01.2010	AA	AB new			
AA	A559	26.11.2008	yes	01.04.2011	AA	AB new			
AA	A560	26.11.2008	yes	26.01.2010	AA	AB new			
AA	A561	27.11.2008	yes	26.01.2010	AA	TL			
Yu	A562	30.11.2008	YES	17.03.2011	Yu	gsc-gfp +/*			
Yu	A563	30.11.2008	YES	17.03.2011	Yu	gsc-gfp +/*			
Yu	A564	30.11.2008	Yes	17.03.2011	Yu	gsc-gfp +/*			
Yu	A565	27.12.2008	YES	15.01.2009	Yu	Dicer-/+ x TOL-1111-F-EGFP-nos3’UTR +/+			
Yu	A566	27.12.2008	yes	01.04.2011	Yu	Dicer-/+ x TOL-1111-F-EGFP-nos3’UTR +/+			
MR	A567	07.01.2009	YES	12.04.2010	MR	mil t273 x AB			
MR	A568	07.01.2009	YES	12.04.2010	MR	mil t273 x AB			
MR	A569	07.01.2009	yes	21.12.2010	MR	mil t273 x AB			
EM	A570	07.01.2009	YES	01.03.2011	EM	ody-/-;Tol-IIII-EGFP-nos UTR	ody	ody 24	
HM	A571	26.01.2009	YES	21.12.2010	HM	swr ta72 x AB			
HM	A572	06.01.2009	yes	1.03.2010	HM	swr ta72 x AB			
HM	A573	06.01.2009	Yes	01.04.2010	HM	kny m818 x AB			
HM	A574	06.01.2009	Yes	01.04.2010	HM	kny m818 x AB			
HM	A575	06.01.2009	Yes	01.04.2010	HM	kny m818 x AB			
BB	A576	08.01.2009	yes	12.04.2010	BB	Tol-kop-DsRedEx-nos x AB			
BB	A577	08.01.2009	YES	03.11.2010	BB	Tol-kop-DsRedEx-nos x AB			
Yu	A578	11.01.2009	yes	20.07.2011	Yu	Dicer-/+ x TOL-1111-F-EGFP-nos3’UTR +/+			
Yu	A579	14.12.2008	yes	01.04.2011	Yu	Parental:AB; Germcell: Dicer-/-			
Yu	A580	14.12.2008	yes	01.04.2011	Yu	Parental:AB with Dicer germ cells			
Yu	A581	14.12.2008	yes	01.04.2011	Yu	Parental:AB; with Dicer Germ cells			
BB	A582	14.01.2009	YES	13.03.2009	BB	med NY054-2 -/-; Tol-kop-EGFP-F-nos			
BB	A583	14.01.2009	YES	03.11.2010	BB	Tol-kop-DsRedEx-nos			
BB	A584	14.01.2009	YES	13.03.2009	BB	Tol-kop-DsRedEx-nos			
MR	A585	15.04.2009	YES	21.12.2010	MR	TOL-1111-EGFP-actin-nos3’UTR			
AA	A586	15.01.2009	yes	17.01.2011	AA	HB9-gfp (+/-)			
AA	A587	15.01.2009	yes	17.01.2011	AA	HB9-gfp (+/-)			
HM	A588	19.01.2009	YES	19.05.2011	HM	swr ta72 x AB			
UJ	A589	21.01.2009	yes	14.05.2010	UJ	flh ak41xAB			
UJ	A590	21.01.2009	yes	14.05.2010	UJ	flh ak41xAB			
UJ	A591	21.01.2009	yes	14.05.2010	UJ	flh ak41xAB			
UJ	A592	21.01.2009	yes	06.04.2009	UJ	flh ak41xAB			
UJ	A593	22.01.2009	yes	14.05.2010	UJ	HK			
UJ	A594	22.01.2009	yes	14.05.2010	UJ	HK			
UJ	A595	22.01.2009	yes	02.06.2010	UJ	HK			
UJ	A596	22.01.2009	yes	02.06.2010	UJ	HK			
BB	A597	20.01.2009	yes	02.03.2011	BB	med NY054-02 -/-			
BB	A598	20.01.2009	yes	02.03.2011	BB	med NY054-02 -/-			
BB	A599	20.01.2009	yes	02.03.2011	BB	med NY054-02 -/-			
MR	A600	28.01.2009	YES	21.12.2010	MR	TOL-1111-EGFP-actin-nos1 3’ UTR 3			
MR	A601	28.01.2009	YES	21.12.2010	MR	TOL-1111-EGFP-actin-nos1 3’ UTR 3			
	A602	28.01.2009	YES	19.08.2010		TOL-1111-EGFP-actin-nos1 3’ UTR 3			
HM	A603	26.01.2009	Yes	25.09.2010	HM	swr ta72 x AB			
HM	A604	26.01.2009	YES	21.3.2011	HM	Tol-1111-7A-DsRed-3’UTRnos			
HM	A605	26.01.2009	YES	21.3.2011	HM	Tol-1111-7A-DsRed-3’UTRnos			
HM	A606	27.01.2009	yes	21.05.2011	HM	Tol-1111-7A-DsRed-3’UTRnos			
EM	A607	05.02.2009	YES	01.03.2011	EM	ody-/-;Tol-IIII-EGFP-nos UTR	ody	ody 24	
EM	A608	05.02.2009	YES	01.03.2011	EM	odyJ149-/-	ody	ody	
ER	A609	5.2.2009	yes	21.12.2010	ER	islet 			
MR	A610	10.02.2009	YES	21.12.2010	MR	TOL-1111-EGFP-myo-nos3’UTR			
MR	A611	10.02.2009	YES	21.12.2010	MR	TOL-1111-EGFP-myo-nos3’UTR			
MR	A612	10.02.2009	Yes	02.02.2010	MR	TOL-1111-EGFP-myo-nos3’UTR			
MR	A613	11.02.2009	yes	21.12.2009	MR	TOL-1111-EGFP-actin-nos1 3’ UTR			
EK	A614	05.02.2009	YES	21.12.2010	EK	smu x AB			
EK	A615	05.02.2009	Yes	21.12.2010	EK	smu x AB			
EK	A616	05.02.2009	Yes	10.2.2010	EK	smu x AB			
EM	A617	11.02.2009	YES	01.03.2011	EM	ody+/-;TOL1111-EGFP-nos3’UTR	ody	ody 24	
MR	A618	18.02.2009	YES	21.12.2010	MR	TOL-1111-EGFP-actin-nos1 3’UTR 			
MR	A619	24.02.2009	yes	17.07.2009	MR	(hs:sdf1a/+) x AB			
MR	A620	18.02.2009	YES	20.12.2009	MR	TOL-1111-EGFP-actin-nos1 3’UTR			
MR	A621	18.02.2009	YES	21.12.2010	MR	TOL-1111-EGFP-myos-nos1 3’UTR			
ER	A622	24.02.2009	yes	18.06.2010	ER	TOL-zpc-F-EYFP nos 3’UTR			
ZL	A623	28.02.2009	Yes	7.5.2010	TB	dino m84 x AB	din	din	
ZL	A624	28.02.2009	Yes	21.02.2011	TB	dino m84 x AB	din	din	
TB	A625	28.02.2009	Yes	21.02.2011	TB	ntl b160 x AB			
TB	A626	28.02.2009	Yes	7.5.2010	TB	ntl b160 x AB			
KW	A627	05.05.2008	Yes	20.3.2009	n.a.	weg+/- xAB	weg	weg	
MR	A628	04.03.2009	YES		MR	TOL-1111-EGFP-actin-nos1 3’UTR			
MR	A629	04.03.2009	YES		MR	(hs:sdf1a/+) x AB			
LT	A638	07.03.2009	YES	12.05.2010	AP	oep tz257 x AB	oep tz257	oep tz257	
LT	A639	07.03.2009	yes	12.05.2010	AP	oep tz257 x AB	oep tz257	oep tz257	
SY	A640	07.03.2009	yes	22.02.2011	AP	oep m134 x AB	oep m134	oep m134	
SY	A641	07.03.2009	yes	22.02.2011	AP	oep m134 x AB	oep m134	oep m134	
BB	A642	04.03.2009	YES	21.12.2010	BB	spt b104 x AB			
BB	A643	04.03.2008	YES	14.01.2010	BB	med NY054-2 -/-; Tol-kop-EGFP-f-nos			
BB	A644	04.03.2008	YES	12.01.2011	BB	med NY054-2 -/-; Tol-kop-EGFP-f-nos			
EM	A645	11.03.2009	YES	01.03.2011	EM	ody-/- x AB	ody	ody	
MG	A647	07.03.2009	Yes	02.10.2010	MG	noi +/- X AB			
MG	A648	07.03.2009	Yes	02.10.2010	MG	noi +/- X AB			
MG	A649	07.03.2009	Yes	02.10.2010	MG	noi +/- X AB			
MG	A650	07.03.2009	Yes	02.10.2010	MG	noi +/- X AB			
BB	A651	10.03.2009	YES	12.01.2011	BB	med NY054-02 -/-; Tol-kop-EGFP-f-nos			
BB	A652	11.03.2009	YES	11.03.2011	BB	spt b104 +/- x AB			
BB	A653	11.03.2009	YES	11.03.2011	BB	spt b104 +/- x AB			
BB	A654	11.03.2009	YES	11.03.2011	BB	spt b104 +/- x AB			
MR	A655	31.03.2009	Yes	02.02.2010	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A656	31.03.2009	Yes	02.02.2010	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A657	31.03.2009	yes	21.12.2009	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MD	A658	01.06.2004	YES		MD	FREI x AB			
AA	A658	01.04.2009	yes	21.12.2010	AA	Tol-1111-F-EGFP-nos3’UTR (I) x AB			
AA	A659	01.04.2009	yes	21.12.2010	AA	Tol-1111-F-EGFP-nos3’UTR (I) x AB			
AA	A660	01.04.2009	yes	21.12.2010	AA	Tol-1111-F-EGFP-nos3’UTR (I)			
AA	A661	01.04.2009	YES	09.07.2009	AA	Tol-1111-F-EGFP-nos3’UTR (I)			
AA	A662	01.04.2009	yes	20.10.2010	AA	Tol-1111-F-EGFP-nos3’UTR (II)			
AA	A663	01.04.2009	yes	21.12.2010	AA	Tol-1111-F-EGFP-nos3’UTR (II)			
AA	A664	01.04.2009	yes	21.12.2010	AA	Tol-1111-F-EGFP-nos3’UTR (II)			
AA	A665	01.04.2009	yes	20.10.2010	AA	Tol-1111-F-EGFP-nos3’UTR (II) x AB			
AA	A666	01.04.2009	yes	21.12.2010	AA	Tol-1111-F-EGFP-nos3’UTR (II) x AB			
MG	A668	17.04.2009	Yes	15.04.2011	MG	Dicer+/- X AB			
MG	A669	17.04.2009	Yes	15.04.2011	MG	Dicer+/- X AB			
ER	A670	22.07.2008	Yes	02.06.2010	ER	cldB-GFP			
MD	A671	24.06.2004	YES	24.06.2005	MD	FREI			
JW	A671	16.04.2009	Yes	24.02.2011	EK	Tol2-KopPr-RacFRET-YPet-nos X AB		12	
UJ	A672	22.04.2009	yes	02.06.2010	UJ	cldB-GFP			
MR	A673	21.04.2009	yes	21.05.2009	MR	(hs:sdf1a/+) x AB			
UJ	A674	27.04.2009	yes	02.06.2010	UJ	cldB-GFP			
EM	A675	28.04.2009	yes	02.06.2009	EM	AB (DR) x TL			
EM	A676	28.04.2009	yes	02.06.2009	EM	AB (DR) x TL			
EM	A677	28.04.2009	yes	15.05.2009	EM	AB (DR) x TL			
EM	A678	28.04.2009	yes	15.05.2009	EM	AB (DR)x TL			
EM	A679	28.04.2009	yes	18.05.2009	EM	AB (DR) x TL			
UJ	A680	05.05.2009	yes	25.05.2009	UJ	cldB-GFP			
UJ	A681	05.05.2009	yes	02.06.2010	UJ	cldB-GFP			
MR	A682	6.05.2009	yes	13.10.2009	MR	(hs:sdf1a/+) x AB			
UJ	A683	12.05.2009	yes	27.05.2009	UJ	cldB-GFP			
UJ	A684	12.05.2009	yes	13.05.2011	UJ	cldB-GFP			
UJ	A685	12.05.2009	yes	13.05.2011	UJ	cldB-GFP			
MR	A686	13.05.2009	Yes	02.02.2010	MR	(hs:sdf1a/+) x AB			
UJ	A687	20.05.2009	yes	13.05.2011	UJ	cldB-GFP			
UJ	A688	20.05.2009	yes	13.05.2011	UJ	cldB-GFP			
UJ	A689	20.05.2009	yes	13.05.2011	UJ	cldB-GFP			
MR	A690	27.05.2009	YES	03.11.2010	MR	(hs:sdf1a/+)			
MR	A691	27.05.2009	Yes	02.02.2010	MR	(hs:sdf1a/+)			
MR	A692	27.05.2009	yes	13.10.2009	MR	(hs:sdf1a/+)			
MR	A693	27.05.2009	YES	21.12.2010	MR	(hs:sdf1a/+)			
UJ	A694	28.05.2009	yes	13.05.2011	UJ	cldB-GFP			
UJ	A695	28.05.2009	yes	13.05.2011	UJ	cldB-GFP			
UJ	A696	28.05.2009	yes	13.05.2011	UJ	cldB-GFP			
KT	A697	27.05.2009	YES	10.06.2009	KT	UAS-SDF1aWT			
KT	A698	27.05.2009	YES	19.05.2011	KT	UAS-SDF1aAELA			
KT	A699	28.05.2009	yes	19.05.2011	KT	UAS-SDF1aWT			
KT	A700	28.05.2009	yes	19.05.2011	KT	UAS-SDF1aAELA			
UJ	A701	04.06.2009	yes	13.05.2011	UJ	cldB-GFP			
MR	A702	03.06.2009	YES	20.12.2009	MR	(hs:sdf1a/+)			
UJ	A703	10.06.2009	yes	13.05.2011	UJ	cldB-GFP			
ER	A704	23.07.2008	Yes	02.06.2010	ER	cldB-GFP			
KT	A705	04.06.2009	yes	19.05.2011	KT	ShhGal4HSPcryDsRed			
MR	A706	23.06.2009	YES	21.12.2010	MR	(hs:sdf1a/+)			
AA	A707	01.07.2009	yes	20.12.2010	AA	AB			
AA	A708	01.07.2009	yes	26.05.2011	AA	AB			
AA	A709	01.07.2009	yes	26.05.2011	AA	AB			
AA	A710	01.07.2009	yes	26.05.2011	AA	AB			
AA	A711	01.07.2009	yes	26.05.2011	AA	AB			
AA	A712	01.07.2009	yes	26.05.2011	AA	AB			
AA	A713	01.07.2009	yes	23.12.2010	AA	AB			
AA	A714	01.07.2009	yes	23.12.2010	AA	AB			
FK	A715	09.07.2009	yes	12.01.2011	FK	TL			
FK	A716	09.07.2009	yes	12.01.2011	FK	TL			
FK	A717	09.07.2009	yes	12.01.2011	FK	TL			
AA	A718	09.07.2009	yes	20.06.2011	AA	AB x TL			
AA	A719	09.07.2009	yes	20.06.2011	AA	AB x TL			
AA	A720	09.07.2009	yes	26.05.2011	AA	AB x TL			
AA	A721	09.07.2009	yes	13.05.2011	AA	AB x TL			
AA	A722	15.07.2009	yes	26.05.2011	AA	AB			
AA	A723	15.07.2009	yes	26.05.2011	AA	AB			
AA	A724	15.07.2009	yes	26.05.2011	AA	AB			
AA	A725	15.07.2009	yes	2.12.2010	AA	Tol-1111-7A-DsRed-3’UTRnos x AB new			
AA	A726	16.07.2009	yes	26.05.2011	AA	AB x TL			
AA	A727	16.07.2009	yes	20.06.2011	AA	AB x TL			
AA	A728	16.07.2009	yes	20.06.2011	AA	AB x TL			
MG	A729	16.07.2009	YES	01.11.2009	MG	clo x Clo			
MR	A730	23.07.2009	yes	21.12.2010	MR	hs:sdf1a/+, tol-1111-EGFP-nos +/+			
MR	A731	23.07.2009	YES	21.12.2010	MR	hs:sdf1a/+, tol-1111-EGFP-nos +/+			
MR	A732	23.07.2009	yes	01.07.2011	MR	hs:sdf1a/+, tol-1111-EGFP-nos +/+			
AA	A733	30.07.2009	yes	1.12.2010	AA	TOL-1111-F-EGFP-nos3’UTR (+/+) / Tol-1111-7A-DsRed-3’UTRnos			
AA	A734	30.07.2009	yes	21.12.2010	AA	TOL-1111-F-EGFP-nos3’UTR (+/+) / Tol-1111-7A-DsRed-3’UTRnos			
AA	A735	30.07.2009	yes	3.12.2010	AA	TOL-1111-F-EGFP-nos3’UTR (+/-) / Tol-1111-7A-DsRed-3’UTRnos (+/-) (50%)			
KW	A736	10.08.2009	Yes	28/07/2011	KT	TOL-1111-F-EGFP-nos3’UTR  / cry-DsRed		24	
AA	A737	13.08.2009	yes	2.12.2010	AA	Tol-1111-7A-DsRed-3’UTRnos/TOl-1111-F-EGFP x AB			
MG	A738	26.08.2009	Yes	15.04.2011	MG	Clo * AB			
MG	A739	26.08.2009	Yes	15.04.2011	MG	Clo * AB			
KT	A740	17.09.2009	yes	21.9.2010	KT	TOL-1111-7a-DsRed-nos3’UTR  / cry-DsRed			
UJ	A741	25.09.2009	yes	02.06.2010	UJ	TL			
UJ	A742	25.09.2009	yes	02.06.2010	UJ	TL			
UJ	A743	25.09.2009	yes	02.06.2010	UJ	TL			
UJ	A744	25.09.2009	yes	02.06.2010	UJ	TL			
MR	A745	07.10.2009	yes	06.10.2011	MR	TOL-1111-EGFP-actin-nos1 3’ UTR 3			
MR	A746	07.10.2009	yes	09.09.2010	MR	TOL-1111-EGFP-actin-nos1 3’ UTR 3			
MR	A747	07.10.2009	yes	24.02.2012	MR	TOL-1111-EGFP-actin-nos1 3’ UTR 3			
MR	A748	07.10.2009	Yes	01.06.2010	MR	TOL-1111-EGFP-actin-nos1 3’ UTR 3			
MR	A749	07.10.2009	yes	24.02.2012	MR	TOL-1111-EGFP-actin-nos1 3’ UTR 3			
MR	A750	07.10.2009	yes	24.02.2012	MR	TOL-1111-EGFP-actin-nos1 3’			
MR	A751	08.10.2009	YES	01.07.2011	MR	hs:sdf1a/hs:sdf1a			
MR	A752	08.10.2009	YES	01.07.2011	MR	hs:sdf1a/hs:sdf1a			
MR	A753	14.10.2009	yes	11.01.2011	MR	hs:sdf1a/hs:sdf1a			
MR	A754	14.10.2009	YES	5.12.2010	MR	hs:sdf1a/hs:sdf1a			
MR	A755	13.10.2009	yes	21.12.2009	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A756	13.10.2009	YES	21.10.2010	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A757	13.10.2009	yes	06.10.2011	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A758	13.10.2009	yes	06.10.2011	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A759	21.10.2009	YES	1.12.2010	MR	hs:sdf1a/hs:sdf1a			
MR	A760	21.10.2009	YES	22.12.2010	MR	hs:sdf1a/hs:sdf1a			
AA	A761	20.10.2009	yes	21.10.2010	AA	Tol-1111-F’-EGFP-nos3’UTR x AB Dr Ms (insertion  1)			
AA	A762	20.10.2009	yes	11.12.2010	AA	Tol-1111-F’-EGFP-nos3’UTR x AB Dr Ms (insertion  1)			
MR	A763	27.10.2009	yes	06.10.2011	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A764	27.10.2009	YES	13.12.2010	MR	TOL-1111-EGFP-actin-nos1 3’			
MR	A766	04.11.2009	yes	06.10.2011	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A767	04.11.2009	yes	06.10.2011	MR	TOL-1111-EGFP-myo-nos1 3’UTR			
MR	A768	04.11.2009	YES	5.12.2010	MR	TOL-1111-EGFP-actin-nos1 3’UTR			
KT	A769	13.11.2009	yes	08.06.2010	KT	TOL-1111-EGFP-lifeactin-Tdrd7 3’UTR/ cryDsRed			
KT	A770	13.11.2009	yes	19.05.2011	KT	TOL-1111-Rubi-lifeactin-Tdrd7 3’UTR/ cryDsRed			
MR	A771	17.11.2009	yes	1.12.2010	MR	TOL-1111-EGFP-actin-nos1 3’UTR			
EK	A772	01.12.2009	yes	02.05.2011	EK	 spt b104 x AB			
EK	A773	01.12.2009	yes	02.05.2011	EK	spt b104 x AB			
EK	A774	01.12.2009	yes	02.05.2011	EK	spt b104 x AB			
AA	A775	03.12.2009	yes	4.12.2010	AA	TOL-1111-F-EGFP x AB dresdenNew			
AA	A776	03.12.2009	yes	21.11.2010	AA	TOL-1111-F-EGFP x AB dresdenNew			
HM	A777	07.01.2010	yes	29.08.2011	HM	swr ta72 x AB			
HM	A778	07.01.2010	yes	20.09.2011	HM	kny m818 x AB			
HM	A779	07.01.2010	yes	07.01.2011	HM	kny m818 x AB			
HM	A780	07.01.2010	yes	07.01.2012	HM	kny m818 x AB			
UJ	A781	08.01.2010	yes	28.09.2011	UJ	FLH ak41 x AB			
UJ	A782	08.01.2010	yes	07.06.2011	UJ	FLH ak41 x AB			
UJ	A783	08.01.2010	yes	17.03.2011	UJ	FLH ak41 x AB			
UJ	A784	08.01.2010	yes	17.03.2011	UJ	FLH ak41 x AB			
WH	A785	20.02.2009	yes	13.05.2011	WH	AB SF			
WH	A786	11.08.2009	yes	13.05.2011	WH	AB SF			
KW	A787	26.03.2009	Yes	08.05.2010	EK	weg+/- xAB	weg	weg	
LT	A788	14.01.2009	YES	18.07.2011	AP	cas ta56 x AB	cas	cas	
ER	A789	23.03.2010	YES	25.1.2012	ER	gsc-GFP			
ER	A790	16.01.2010	YES	25.1.2012	ER	gsc-gfp			
ER	A791	16.01.2010	YES	25.1.2012	ER	gsc-gfp			
SY	A792	22.01.2010	yes	03.01.2012	AP	oep m134 x AB	oep m134	oep m134	
SY	A793	22.01.2010	yes	12.04.2011	AP	oep m134 x AB	oep m134	oep m134	
EM	A794	20.01.2010	YES	10.01.2012	EM	ody -/- J149	ody	ody	
HM	A795	20.1.2010	yes	29.08.2011	HM	swr ta72 x AB			
	A796	06.02.2009	yes	13.05.2011		TL (SF)			
AA	A797	14.01.2010	yes	04.01.2012	AA	HB9-gfp (+/-)			
AA	A798	14.01.2010	yes	06.06.2011	AA	HB9-gfp (+/-)			
AA	A799	14.01.2010	Yes	17.01.2011	AA	HB9-gfp (+/-)			
EK	A800	26.01.2010	yes	02.05.2011	EK	Smu x AB			
EK	A801	26.01.2010	yes	02.05.2011	EK	Smu x AB			
EK	A802	26.01.2010	yes	02.05.2011	EK	Smu x AB			
EM	A803	27.01.2010	YES	20.01.2012	EM	ody-/- J149	ody	ody	
LT	A804	01.02.2010	YES	18.07.2011	AP	cas ta56 X AB	cas	cas	
LT	A805	01.02.2010	YES	18.07.2011	AP	cas ta56 X AB	cas	cas	
JS	A806	28.01.2010	yes	23.03.2011	SB	Tol1111-DsRedEx-nos x AB		2	
JS	A807	28.01.2010	yes	23.03.2011	SB	Tol1111-DsRedEx-nos x AB		2	
JS	A808	28.01.2010	yes	23.03.2011	SB	Tol1111-DsRedEx-nos x AB		2	
UJ	A809	29.01.2010	yes	27.04.2011	UJ	HK			
UJ	A810	29.01.2010	yes	27.04.2011	UJ	HK			
JB	A811	30.01.2010	YES	14.04.2011	JB	med NY054-02 X AB			
JB	A812	30.01.2010	YES	14.04.2011	JB	med NY054-02 X AB			
JB	A813	30.01.2010	YES	28.09.2011	JB	med NY054-02 -/-			
JB	A814	30.01.2010	YES	28.09.2011	JB	med NY054-02 -/-			
JB	A815	30.01.2010	YES	01.08.2011	JB	med NY054-2 Tol-kop-EGFP-f-nos X AB			
JB	A816	30.01.2010	YES	01.08.2011	JB	med NY054-2 Tol-kop-EGFP-f-nos X AB			
JB	A817	30.01.2010	YES	14.04.2011	JB	med NY054-2 -/-; Tol-kop-EGFP-f-nos			
JB	A818	30.01.2010	YES	14.04.2011	JB	med NY054-2 -/-; Tol-kop-EGFP-f-nos			
EM	A819	29.01.2010	yes	20.06.2011	EM	AB 			
EM	A820	29.01.2010	yes	26.05.2011	EM	AB			
EM	A821	30.01.2010	yes	20.06.2011	EM	AB			
EM	A822	30.01.2010	yes	26.05.2011	EM	AB			
MR	A823	05.02.2010	YES	05.02.2012	MR	mil t273 x AB			
MR	A824	05.02.2010	YES	05.02.2012	MR	mil t273 x AB			
MR	A825	05.02.2010	YES	12.04.2010	MR	mil t273 x AB			
